City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Vao,NC,-22.6667,167.4833,73.81,82,100,13.73,overcast clouds
228,Sitka,US,57.0531,-135.33,35.6,93,90,9.22,snow
229,Katete,UG,-0.7818,29.7544,65.77,82,100,0.34,overcast clouds
230,Saint-Philippe,RE,-21.3585,55.7679,80.6,74,90,11.5,light rain
231,Esperance,AU,-33.8667,121.9,80.6,54,32,10.36,scattered clouds
232,Jiuquan,CN,39.7432,98.5174,43.34,24,100,6.87,overcast clouds
233,Aabenraa,DK,55.0443,9.4174,44.01,93,75,10.36,broken clouds
234,Sepuka,TZ,-4.75,34.5333,65.34,82,30,9.01,scattered clouds
235,Nyimba,ZM,-14.5566,30.8149,68.77,77,12,4.0,few clouds
236,Quatre Cocos,MU,-20.2078,57.7625,84.0,89,75,3.44,broken clouds
237,Razole,IN,16.4833,81.8333,89.6,55,18,8.05,haze
238,Ugu,IN,26.7833,80.3333,87.8,16,0,13.8,haze
239,Ponta Do Sol,PT,32.6667,-17.1,59.0,75,24,1.01,few clouds
240,Kavieng,PG,-2.5744,150.7967,83.75,69,36,2.89,scattered clouds
241,Sioux Lookout,CA,50.1001,-91.917,10.4,79,1,4.61,clear sky
242,Gorgan,IR,36.8387,54.4348,55.4,88,40,6.91,mist
243,Quesnel,CA,52.9999,-122.5029,39.2,60,90,5.75,overcast clouds
244,Wangou,CN,42.0623,126.9127,61.9,22,79,3.53,broken clouds
245,Shahdadkot,PK,27.8477,67.9055,93.09,3,0,5.53,clear sky
246,Bartica,GY,6.4,-58.6167,71.6,94,20,2.3,few clouds
247,Adrar,MR,20.5022,-10.0711,76.14,9,100,3.53,overcast clouds
248,Banamba,ML,13.55,-7.45,75.51,14,49,8.5,scattered clouds
249,Mardin,TR,37.3131,40.7436,48.2,66,0,2.3,clear sky
250,Kendari,ID,-3.945,122.4989,84.97,72,92,4.9,overcast clouds
251,Kijang,KR,35.2442,129.2139,66.2,26,0,19.57,clear sky
252,Kenai,US,60.5544,-151.2583,28.4,63,90,6.91,overcast clouds
253,Sioux City,US,42.5,-96.4003,26.01,50,1,4.61,clear sky
254,Hat Yai,TH,7.0084,100.4767,93.2,55,40,6.91,scattered clouds
255,Sorland,NO,67.667,12.6934,36.37,94,100,24.83,light rain
256,Tateyama,JP,34.9833,139.8667,66.2,68,75,11.5,broken clouds
257,Torbay,CA,47.6666,-52.7314,26.01,74,1,9.22,clear sky
258,Botou,CN,38.0667,116.5667,72.5,10,95,8.37,overcast clouds
259,Kargasok,RU,59.0556,80.8572,32.2,88,100,13.4,overcast clouds
260,Bulembu,SZ,-25.9667,31.1333,66.2,77,0,1.14,clear sky
261,Shuangyang,CN,43.5242,125.6736,64.99,16,0,6.71,clear sky
262,Porto Velho,BR,-8.7619,-63.9039,73.4,94,75,4.61,light rain
263,Paamiut,GL,61.994,-49.6678,36.0,76,100,27.34,overcast clouds
264,Husavik,IS,66.0449,-17.3389,42.8,65,75,16.11,broken clouds
265,Fulton,US,33.7668,-84.4499,45.0,61,1,8.05,clear sky
266,Yumen,CN,40.2833,97.2,43.27,39,100,5.03,overcast clouds
267,Fort Morgan,US,40.2503,-103.8,30.2,47,1,4.61,clear sky
268,Mahibadhoo,MV,3.7833,72.9667,84.29,72,88,13.02,overcast clouds
269,Thai Binh,VN,20.45,106.3333,78.8,89,75,9.22,broken clouds
270,Aswan,EG,24.0934,32.907,67.1,23,0,11.65,clear sky
271,Astara,AZ,38.5,48.6667,57.2,65,20,6.91,few clouds
272,Samarai,PG,-10.6167,150.6667,85.05,70,71,12.71,broken clouds
273,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.5,99,78,2.75,broken clouds
274,Luanda,AO,-8.8368,13.2343,78.8,83,75,1.14,broken clouds
275,Ishigaki,JP,24.3448,124.1572,80.6,83,75,17.27,light rain
276,Kahului,US,20.8947,-156.47,73.4,88,40,17.27,scattered clouds
277,Qujing,CN,25.4833,103.7833,78.01,34,15,10.0,few clouds
278,Da Nang,VN,16.0678,108.2208,87.8,70,20,8.05,few clouds
279,Yashalta,RU,46.3395,42.2762,46.51,59,0,17.56,clear sky
280,Margherita,IN,27.2833,95.6833,69.8,88,90,4.61,mist
281,Dwarka,IN,22.2394,68.9678,85.05,53,0,10.2,clear sky
282,Katsuura,JP,35.1333,140.3,70.0,63,20,5.75,few clouds
283,Mnogovershinnyy,RU,53.9353,139.9242,33.04,82,56,3.02,broken clouds
284,La Palma,US,33.8464,-118.0467,71.6,32,20,4.45,few clouds
285,Yangjiang,CN,21.85,111.9667,87.01,55,11,14.12,few clouds
286,Kawalu,ID,-7.3817,108.2082,82.2,76,87,4.47,overcast clouds
287,Gananoque,CA,44.3334,-76.1661,37.99,70,100,7.0,overcast clouds
288,Gallup,US,35.5281,-108.7426,35.01,24,1,3.44,clear sky
289,Aksha,RU,50.2814,113.2867,32.65,89,100,3.33,snow
290,Alcaniz,ES,41.05,-0.1333,46.0,56,91,1.99,overcast clouds
291,Cayenne,GF,4.9333,-52.3333,79.0,94,20,3.44,few clouds
292,Zhanaozen,KZ,43.3,52.8,46.99,31,5,22.5,clear sky
293,Buraydah,SA,26.326,43.975,71.6,56,20,5.75,few clouds
294,Vila Velha,BR,-20.3297,-40.2925,69.8,100,90,9.78,overcast clouds
295,Ilulissat,GL,69.2167,-51.1,21.2,63,75,16.11,broken clouds
296,Kouango,CF,4.9934,19.9619,79.57,63,88,4.12,overcast clouds
297,Kununurra,AU,-15.7667,128.7333,91.4,35,100,16.11,overcast clouds
298,Nome,US,64.5011,-165.4064,-13.61,98,6,6.85,clear sky
299,Kieta,PG,-6.2167,155.6333,83.08,74,21,3.89,light rain
300,Halifax,CA,44.6453,-63.5724,48.0,100,93,14.97,overcast clouds
301,Ulaangom,MN,49.9811,92.0667,34.43,37,11,7.0,few clouds
302,Kisangani,CD,0.5167,25.2,75.15,81,93,4.79,overcast clouds
303,Rio Brilhante,BR,-21.8019,-54.5464,63.66,69,47,4.27,scattered clouds
304,Le Pradet,FR,43.1066,6.0172,44.6,76,0,2.3,clear sky
305,Tongliao,CN,43.6125,122.2653,66.52,18,100,11.25,overcast clouds
306,Goya,AR,-29.14,-59.2626,59.14,76,1,4.65,clear sky
307,Rundu,NA,-17.9333,19.7667,65.95,67,95,4.72,overcast clouds
308,Alofi,NU,-19.0595,-169.9187,82.4,83,4,11.5,clear sky
309,San Severino Marche,IT,43.2281,13.1802,55.99,81,2,3.44,clear sky
310,Leh,IN,34.1667,77.5833,33.39,33,31,5.75,scattered clouds
311,Komsomolskiy,UZ,40.4272,71.7189,42.8,49,20,39.12,few clouds
312,Vostok,RU,46.4856,135.8833,39.99,65,26,6.49,scattered clouds
313,Esso,RU,55.9333,158.7,34.63,99,100,5.08,light snow
314,Businga,CD,3.3333,20.8833,72.73,88,67,3.74,broken clouds
315,Yellowknife,CA,62.456,-114.3525,12.2,73,75,12.66,broken clouds
316,Panaba,MX,21.2833,-88.2667,72.52,85,78,6.4,broken clouds
317,Horovice,CZ,49.836,13.9027,50.0,100,44,4.99,scattered clouds
318,Srednekolymsk,RU,67.45,153.6833,11.64,82,69,7.34,broken clouds
319,Terrace,CA,54.5163,-128.6035,35.6,93,90,19.57,light rain
320,Lasa,IT,46.6166,10.7002,48.0,75,0,5.75,clear sky
