City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Rusape,ZW,63.45,broken clouds,-18.5278,32.1284,Surrey Lodge
369,Makungu,TZ,64.17,light rain,-8.7333,35.2833,Complex
374,Manzanillo,CU,74.79,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
376,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
377,Gotsu,JP,62.6,clear sky,35.0,132.2167,Yurusato
383,Galle,LK,85.37,broken clouds,6.0367,80.217,Amangalla
389,Sulangan,PH,82.56,overcast clouds,11.1373,123.7228,Maia's Beach Resort
394,Rio Grande,BR,65.39,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
398,Manjacaze,MZ,72.95,overcast clouds,-24.7117,33.8828,Hotel Gani
401,Likasi,CD,62.82,broken clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
402,Pacific Grove,US,60.8,clear sky,36.6177,-121.9166,Lovers Point Inn
406,Padang,ID,86.0,broken clouds,-0.9492,100.3543,Mercure Padang
410,Sola,VU,82.15,moderate rain,-13.8833,167.55,Leumerus Bungalows
411,Jardim,BR,66.99,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
412,Luganville,VU,81.9,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
413,Florianopolis,BR,69.8,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
414,Bambanglipuro,ID,84.15,broken clouds,-7.95,110.2833,Puri Brata
416,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
417,Faridpur,BD,89.6,haze,23.6,89.8333,Progoti hostel
418,Dingle,PH,86.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
419,Ixtapa,MX,70.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
421,Jahangirpur,IN,87.8,dust,28.1833,77.7167,Govind Garden (JAHANGIRPUR)
422,Byron Bay,AU,71.6,light rain,-28.65,153.6167,Backpackers Inn on the Beach
424,Lamu,KE,80.6,light rain,-2.2717,40.902,Lamu House
425,San Andres,CO,80.6,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
426,Port Lincoln,AU,79.12,clear sky,-34.7333,135.8667,Port Lincoln Hotel
428,Noumea,NC,78.8,light rain,-22.2763,166.4572,Hôtel Le Lagon
430,Culleredo,ES,64.4,clear sky,43.2879,-8.3886,Hotel Crunia Coruña
432,Buriti Bravo,BR,70.57,overcast clouds,-5.8372,-43.8336,Hotel Fazenda
434,Puerto Leguizamo,CO,69.94,overcast clouds,-0.1934,-74.7819,la casona de juancho
435,Mana,GF,75.45,overcast clouds,5.6592,-53.7767,LE SAMANA
439,San Lorenzo,PY,66.2,clear sky,-25.3333,-57.5333,Hotel del Sur
443,Humaita,BR,69.22,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
444,Saurimo,AO,65.68,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
445,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
446,Mahajanga,MG,80.6,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
447,Kiunga,PG,89.69,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
449,Camana,PE,69.49,overcast clouds,-16.6228,-72.7111,Hostal Morales
451,Kelo,TD,75.94,few clouds,9.3086,15.8066,Plantation de Kelo
452,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
455,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
456,Salalah,OM,86.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
457,Antalaha,MG,79.97,light rain,-14.9003,50.2788,Hotel Vitasoa
459,Oyugis,KE,71.76,clear sky,-0.509,34.7358,Hotel Ayadom
461,Muli,MV,84.18,heavy intensity rain,2.9167,73.5667,Medhufushi Island Resort
467,Harper,LR,78.13,broken clouds,4.375,-7.7169,Screensaver
468,Bengkulu,ID,77.05,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
470,Baliton,PH,89.6,broken clouds,5.7436,125.2364,RED VALLEY Resorts & Residences
471,Kindu,CD,71.46,overcast clouds,-2.95,25.95,Résidence Okanda
472,Marsh Harbour,BS,75.25,broken clouds,26.5412,-77.0636,Abaco Beach Resort
475,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
476,Puerto Del Rosario,ES,64.4,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
477,Dicabisagan,PH,85.42,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
478,Mount Gambier,AU,86.0,broken clouds,-37.8333,140.7667,Commodore on the Park
491,Victoria Point,AU,75.0,scattered clouds,-27.5833,153.3,Bay Retreat Motel
492,Miri,MY,89.6,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
494,Takoradi,GH,78.82,few clouds,4.8845,-1.7554,Raybow International Hotel
503,Mount Barker,AU,89.01,clear sky,-35.0667,138.8667,A Suite Spot in the Hills
506,Falam,MM,86.23,clear sky,22.9167,93.6833,Falang Government Guesthouse
510,Sal Rei,CV,68.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
511,Tefe,BR,72.54,overcast clouds,-3.3542,-64.7114,Aracati Hotel
512,Luis Correia,BR,77.14,overcast clouds,-2.8792,-41.6669,Hotel Amarração
513,Nakamura,JP,65.32,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
514,Iracoubo,GF,76.15,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
515,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
517,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
521,Kanniyakumari,IN,88.3,broken clouds,8.0833,77.5667,Sparsa
528,Black River,JM,75.2,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
529,Manaure,CO,78.35,broken clouds,11.7751,-72.4445,Hotel Palaaima
530,Arlit,NE,69.44,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
531,Kupang,ID,82.4,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
534,Montes Altos,BR,77.0,light rain,-5.8333,-47.0667,Hotel e Restaurante Manaaim
536,Huilong,CN,61.0,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
538,Marawi,PH,84.0,overcast clouds,7.9986,124.2928,Derogongan Residence
540,Oarai,JP,62.6,few clouds,36.3167,140.6,Oarai Hotel
541,Kavaratti,IN,83.68,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
543,Pemangkat,ID,84.78,scattered clouds,1.1667,108.9667,Kost H.Syamsuddin
546,Bilma,NE,65.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
549,Finschhafen,PG,84.72,overcast clouds,-6.6024,147.8681,Cossam Guest House
551,Puerto Penasco,MX,71.01,few clouds,31.3167,-113.5333,Playa Bonita Resort
552,San Buenaventura,MX,63.73,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
556,Morant Bay,JM,78.8,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
559,Karwar,IN,86.43,scattered clouds,14.8,74.1333,Netalco Connects
561,Tautira,PF,82.4,few clouds,-17.7333,-149.15,Pension Oaoa
563,Colares,PT,60.01,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
564,Meulaboh,ID,76.96,overcast clouds,4.1363,96.1285,Kost Pria
566,Oriximina,BR,73.42,heavy intensity rain,-1.7656,-55.8661,Pousada Tia Amélia
567,Lukulu,ZM,65.84,scattered clouds,-14.3707,23.241999999999997,Ruth Guest House
568,Am Timan,TD,79.45,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
570,Rio Blanco,MX,61.7,overcast clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
573,Lala,PH,88.86,overcast clouds,7.9745,123.7458,Dennis
574,Sao Joao Da Barra,BR,70.14,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
575,Ambatofinandrahana,MG,64.49,broken clouds,-20.55,46.8,TATAMO
577,Daoukro,CI,71.67,broken clouds,7.0591,-3.9631,Komenan brou roseline
